Code,상장된 시장,한글명
A000250,KOSDAQ,삼천당제약
A000440,KOSDAQ,중앙에너비스
A001000,KOSDAQ,신라섬유
A001540,KOSDAQ,안국약품
A001810,KOSDAQ,무림SP
A001840,KOSDAQ,이화공영
A002230,KOSDAQ,피에스텍
A002290,KOSDAQ,삼일기업공사
A002680,KOSDAQ,한탑
A002800,KOSDAQ,신신제약
A003100,KOSDAQ,선광
A003310,KOSDAQ,대주산업
A003380,KOSDAQ,하림지주
A003670,KOSDAQ,포스코켐텍
A003800,KOSDAQ,에이스침대
A004590,KOSDAQ,한국가구
A004650,KOSDAQ,창해에탄올
A004780,KOSDAQ,대륙제관
A005160,KOSDAQ,동국산업
A005290,KOSDAQ,동진쎄미켐
A005670,KOSDAQ,푸드웰
A005710,KOSDAQ,대원산업
A005860,KOSDAQ,한일사료
A005990,KOSDAQ,매일홀딩스
A006050,KOSDAQ,국영지앤엠
A006140,KOSDAQ,피제이전자
A006580,KOSDAQ,대양제지
A006620,KOSDAQ,동구바이오제약
A006730,KOSDAQ,서부T&D
A006910,KOSDAQ,보성파워텍
A006920,KOSDAQ,모헨즈
A007330,KOSDAQ,푸른저축은행
A007370,KOSDAQ,진양제약
A007390,KOSDAQ,네이처셀
A007530,KOSDAQ,영신금속
A007680,KOSDAQ,대원
A007720,KOSDAQ,대명코퍼레이션
A007770,KOSDAQ,한일화학
A007820,KOSDAQ,에스엠코어
A008290,KOSDAQ,원풍물산
A008370,KOSDAQ,원풍
A008470,KOSDAQ,부스타
A008800,KOSDAQ,행남사
A008830,KOSDAQ,대동기어
A009300,KOSDAQ,삼아제약
A009520,KOSDAQ,포스코엠텍
A009620,KOSDAQ,삼보산업
A009730,KOSDAQ,코센
A009780,KOSDAQ,엠에스씨
A010170,KOSDAQ,대한광통신
A010240,KOSDAQ,흥국
A010280,KOSDAQ,쌍용정보통신
A010470,KOSDAQ,오리콤
A011040,KOSDAQ,경동제약
A011080,KOSDAQ,형지I&C
A011320,KOSDAQ,유니크
A011370,KOSDAQ,서한
A011560,KOSDAQ,세보엠이씨
A012340,KOSDAQ,뉴인텍
A012620,KOSDAQ,원일특강
A012700,KOSDAQ,리드코프
A012790,KOSDAQ,신일제약
A012860,KOSDAQ,서연전자
A013030,KOSDAQ,하이록코리아
A013120,KOSDAQ,동원개발
A013310,KOSDAQ,아진산업
A013720,KOSDAQ,청보산업
A013810,KOSDAQ,스페코
A013990,KOSDAQ,아가방컴퍼니
A014100,KOSDAQ,보령메디앙스
A014190,KOSDAQ,원익큐브
A014200,KOSDAQ,광림
A014470,KOSDAQ,부방
A014570,KOSDAQ,고려제약
A014620,KOSDAQ,성광벤드
A014940,KOSDAQ,오리엔탈정공
A014970,KOSDAQ,삼륭물산
A015710,KOSDAQ,코콤
A015750,KOSDAQ,성우하이텍
A016100,KOSDAQ,리더스코스메틱
A016250,KOSDAQ,이테크건설
A016600,KOSDAQ,큐캐피탈
A016670,KOSDAQ,포비스티앤씨
A016790,KOSDAQ,현대사료
A016920,KOSDAQ,카스
A017000,KOSDAQ,신원종합개발
A017250,KOSDAQ,인터엠
A017480,KOSDAQ,삼현철강
A017510,KOSDAQ,세명전기
A017650,KOSDAQ,대림제지
A017680,KOSDAQ,데코앤이
A017890,KOSDAQ,한국알콜
A018000,KOSDAQ,유니슨
A018120,KOSDAQ,진로발효
A018290,KOSDAQ,지엠피
A018310,KOSDAQ,삼목에스폼
A018620,KOSDAQ,우진비앤지
A018680,KOSDAQ,서울제약
A018700,KOSDAQ,바른손
A019010,KOSDAQ,그랜드백화점
A019210,KOSDAQ,와이지-원
A019540,KOSDAQ,일지테크
A019550,KOSDAQ,SBI인베스트먼트
A019570,KOSDAQ,제미니투자
A019590,KOSDAQ,엠벤처투자
A019660,KOSDAQ,글로본
A019770,KOSDAQ,서연탑메탈
A019990,KOSDAQ,에너토크
A020180,KOSDAQ,대신정보통신
A020400,KOSDAQ,대동금속
A020710,KOSDAQ,시공테크
A021040,KOSDAQ,대호피앤씨
A021080,KOSDAQ,에이티넘인베스트
A021320,KOSDAQ,KCC건설
A021650,KOSDAQ,한국큐빅
A021880,KOSDAQ,메이슨캐피탈
A022100,KOSDAQ,포스코 ICT
A022220,KOSDAQ,정산애강
A023160,KOSDAQ,태광
A023410,KOSDAQ,유진기업
A023440,KOSDAQ,제일제강
A023460,KOSDAQ,CNH
A023600,KOSDAQ,삼보판지
A023760,KOSDAQ,한국캐피탈
A023770,KOSDAQ,플레이위드
A023790,KOSDAQ,동일철강
A023890,KOSDAQ,아트라스BX
A023900,KOSDAQ,풍국주정
A023910,KOSDAQ,대한약품
A024060,KOSDAQ,흥구석유
A024120,KOSDAQ,KB오토시스
A024740,KOSDAQ,한일단조
A024800,KOSDAQ,유성티엔에스
A024810,KOSDAQ,이화전기
A024830,KOSDAQ,세원물산
A024840,KOSDAQ,갑을메탈
A024850,KOSDAQ,피에스엠씨
A024880,KOSDAQ,케이피에프
A024910,KOSDAQ,경창산업
A024940,KOSDAQ,PN풍년
A024950,KOSDAQ,삼천리자전거
A025320,KOSDAQ,시노펙스
A025440,KOSDAQ,대성엘텍
A025550,KOSDAQ,한국선재
A025770,KOSDAQ,한국정보통신
A025870,KOSDAQ,신라에스지
A025880,KOSDAQ,케이씨피드
A025900,KOSDAQ,동화기업
A025950,KOSDAQ,동신건설
A025980,KOSDAQ,아난티
A026040,KOSDAQ,제이에스티나
A026150,KOSDAQ,특수건설
A026180,KOSDAQ,현대정보기술
A026910,KOSDAQ,광진실업
A027040,KOSDAQ,서울전자통신
A027050,KOSDAQ,코리아나
A027360,KOSDAQ,아주IB투자
A027580,KOSDAQ,상보
A027710,KOSDAQ,팜스토리
A027830,KOSDAQ,대성창투
A028040,KOSDAQ,미래SCI
A028080,KOSDAQ,휴맥스홀딩스
A028150,KOSDAQ,GS홈쇼핑
A028300,KOSDAQ,에이치엘비
A029480,KOSDAQ,바른테크놀로지
A029960,KOSDAQ,코엔텍
A030190,KOSDAQ,NICE평가정보
A030270,KOSDAQ,에스마크
A030350,KOSDAQ,드래곤플라이
A030520,KOSDAQ,한글과컴퓨터
A030530,KOSDAQ,원익홀딩스
A030960,KOSDAQ,양지사
A031310,KOSDAQ,아이즈비전
A031330,KOSDAQ,에스에이엠티
A031390,KOSDAQ,녹십자셀
A031510,KOSDAQ,오스템
A031860,KOSDAQ,엔에스엔
A031980,KOSDAQ,피에스케이
A032080,KOSDAQ,아즈텍WB
A032190,KOSDAQ,다우데이타
A032280,KOSDAQ,삼일
A032500,KOSDAQ,케이엠더블유
A032540,KOSDAQ,TJ미디어
A032580,KOSDAQ,피델릭스
A032620,KOSDAQ,유비케어
A032680,KOSDAQ,소프트센
A032750,KOSDAQ,삼진
A032790,KOSDAQ,엠젠플러스
A032800,KOSDAQ,판타지오
A032820,KOSDAQ,우리기술
A032850,KOSDAQ,비트컴퓨터
A032860,KOSDAQ,GMR 머티리얼즈
A032940,KOSDAQ,원익
A032960,KOSDAQ,동일기연
A032980,KOSDAQ,바이온
A033050,KOSDAQ,제이엠아이
A033100,KOSDAQ,제룡전기
A033110,KOSDAQ,이디
A033130,KOSDAQ,디지틀조선
A033160,KOSDAQ,엠케이전자
A033170,KOSDAQ,시그네틱스
A033200,KOSDAQ,모아텍
A033230,KOSDAQ,인성정보
A033290,KOSDAQ,코웰패션
A033310,KOSDAQ,디케이디앤아이
A033320,KOSDAQ,제이씨현시스템
A033340,KOSDAQ,좋은사람들
A033430,KOSDAQ,디에스티
A033500,KOSDAQ,동성화인텍
A033540,KOSDAQ,파라텍
A033560,KOSDAQ,블루콤
A033600,KOSDAQ,에이코넬
A033640,KOSDAQ,네패스
A033790,KOSDAQ,스카이문스테크놀로지
A033830,KOSDAQ,티비씨
A034230,KOSDAQ,파라다이스
A034810,KOSDAQ,해성산업
A034940,KOSDAQ,조아제약
A034950,KOSDAQ,한국기업평가
A035080,KOSDAQ,인터파크홀딩스
A035200,KOSDAQ,프럼파스트
A035290,KOSDAQ,더블유에프엠
A035460,KOSDAQ,기산텔레콤
A035480,KOSDAQ,마제스타
A035600,KOSDAQ,KG이니시스
A035610,KOSDAQ,솔본
A035620,KOSDAQ,바른손이앤에이
A035760,KOSDAQ,CJ ENM
A035810,KOSDAQ,이지바이오
A035890,KOSDAQ,서희건설
A035900,KOSDAQ,JYP Ent.
A036000,KOSDAQ,예림당
A036010,KOSDAQ,아비코전자
A036030,KOSDAQ,KTH
A036090,KOSDAQ,위지트
A036120,KOSDAQ,SCI평가정보
A036170,KOSDAQ,씨티젠
A036180,KOSDAQ,영인프런티어
A036190,KOSDAQ,금화피에스시
A036200,KOSDAQ,유니셈
A036260,KOSDAQ,이매진아시아
A036420,KOSDAQ,제이콘텐트리
A036480,KOSDAQ,대성미생물
A036490,KOSDAQ,SK머티리얼즈
A036540,KOSDAQ,SFA반도체
A036560,KOSDAQ,영풍정밀
A036620,KOSDAQ,버추얼텍
A036630,KOSDAQ,세종텔레콤
A036640,KOSDAQ,HRS
A036670,KOSDAQ,KCI
A036690,KOSDAQ,코맥스
A036710,KOSDAQ,심텍홀딩스
A036800,KOSDAQ,나이스정보통신
A036810,KOSDAQ,에프에스티
A036830,KOSDAQ,솔브레인
A036890,KOSDAQ,진성티이씨
A036930,KOSDAQ,주성엔지니어링
A037030,KOSDAQ,파워넷
A037070,KOSDAQ,파세코
A037230,KOSDAQ,한국팩키지
A037330,KOSDAQ,인지디스플레
A037350,KOSDAQ,성도이엔지
A037370,KOSDAQ,EG
A037400,KOSDAQ,우리조명
A037440,KOSDAQ,희림
A037460,KOSDAQ,삼지전자
A037760,KOSDAQ,쎄니트
A037950,KOSDAQ,엘컴텍
A038010,KOSDAQ,제일테크노스
A038060,KOSDAQ,루멘스
A038070,KOSDAQ,서린바이오
A038110,KOSDAQ,에코플라스틱
A038160,KOSDAQ,팍스넷
A038290,KOSDAQ,마크로젠
A038340,KOSDAQ,UCI
A038390,KOSDAQ,레드캡투어
A038460,KOSDAQ,바이오스마트
A038500,KOSDAQ,삼표시멘트
A038530,KOSDAQ,골드퍼시픽
A038540,KOSDAQ,상상인
A038620,KOSDAQ,위즈코프
A038680,KOSDAQ,에스넷
A038870,KOSDAQ,에코바이오
A038880,KOSDAQ,아이에이
A038950,KOSDAQ,파인디지털
A039010,KOSDAQ,현대통신
A039020,KOSDAQ,이건홀딩스
A039030,KOSDAQ,이오테크닉스
A039200,KOSDAQ,오스코텍
A039230,KOSDAQ,에이아이비트
A039240,KOSDAQ,경남스틸
A039290,KOSDAQ,인포뱅크
A039310,KOSDAQ,세중
A039340,KOSDAQ,한국경제TV
A039420,KOSDAQ,케이엘넷
A039440,KOSDAQ,에스티아이
A039560,KOSDAQ,다산네트웍스
A039610,KOSDAQ,화성밸브
A039670,KOSDAQ,스포츠서울
A039740,KOSDAQ,한국정보공학
A039830,KOSDAQ,오로라
A039840,KOSDAQ,디오
A039860,KOSDAQ,나노엔텍
A039980,KOSDAQ,리노스
A040160,KOSDAQ,누리텔레콤
A040300,KOSDAQ,YTN
A040350,KOSDAQ,큐로컴
A040420,KOSDAQ,정상제이엘에스
A040610,KOSDAQ,SG&G
A040910,KOSDAQ,아이씨디
A041020,KOSDAQ,인프라웨어
A041140,KOSDAQ,넥슨지티
A041190,KOSDAQ,우리기술투자
A041440,KOSDAQ,에버다임
A041460,KOSDAQ,한국전자인증
A041510,KOSDAQ,에스엠
A041520,KOSDAQ,이라이콤
A041590,KOSDAQ,에너전트
A041830,KOSDAQ,인바디
A041910,KOSDAQ,에스텍파마
A041920,KOSDAQ,메디아나
A041930,KOSDAQ,동아화성
A041960,KOSDAQ,코미팜
A042000,KOSDAQ,카페24
A042040,KOSDAQ,케이피엠테크
A042110,KOSDAQ,에스씨디
A042370,KOSDAQ,비츠로테크
A042420,KOSDAQ,네오위즈홀딩스
A042500,KOSDAQ,링네트
A042510,KOSDAQ,라온시큐어
A042520,KOSDAQ,한스바이오메드
A042600,KOSDAQ,새로닉스
A042940,KOSDAQ,상지카일룸
A043090,KOSDAQ,팜스웰바이오
A043100,KOSDAQ,솔고바이오
A043150,KOSDAQ,바텍
A043200,KOSDAQ,파루
A043220,KOSDAQ,에이치엘비파워
A043260,KOSDAQ,성호전자
A043290,KOSDAQ,케이맥
A043340,KOSDAQ,에쎈테크
A043360,KOSDAQ,디지아이
A043370,KOSDAQ,평화정공
A043590,KOSDAQ,크로바하이텍
A043610,KOSDAQ,지니뮤직
A043650,KOSDAQ,국순당
A043710,KOSDAQ,서울리거
A043910,KOSDAQ,자연과환경
A044060,KOSDAQ,조광ILI
A044180,KOSDAQ,KD건설
A044340,KOSDAQ,위닉스
A044480,KOSDAQ,바이오제네틱스
A044490,KOSDAQ,태웅
A044780,KOSDAQ,에이치케이
A044960,KOSDAQ,이글벳
A045060,KOSDAQ,오공
A045100,KOSDAQ,한양이엔지
A045300,KOSDAQ,성우테크론
A045340,KOSDAQ,토탈소프트
A045390,KOSDAQ,대아티아이
A045510,KOSDAQ,정원엔시스
A045520,KOSDAQ,크린앤사이언스
A045660,KOSDAQ,에이텍
A045890,KOSDAQ,GV
A045970,KOSDAQ,코아시아홀딩스
A046070,KOSDAQ,코다코
A046110,KOSDAQ,한일네트웍스
A046120,KOSDAQ,오르비텍
A046140,KOSDAQ,SBS콘텐츠허브
A046210,KOSDAQ,파나진
A046310,KOSDAQ,백금T&A
A046390,KOSDAQ,삼화네트웍스
A046440,KOSDAQ,KG모빌리언스
A046890,KOSDAQ,서울반도체
A046940,KOSDAQ,우원개발
A046970,KOSDAQ,우리로
A047080,KOSDAQ,한빛소프트
A047310,KOSDAQ,파워로직스
A047560,KOSDAQ,이스트소프트
A047770,KOSDAQ,코데즈컴바인
A047820,KOSDAQ,초록뱀
A047920,KOSDAQ,씨트리
A048260,KOSDAQ,오스템임플란트
A048410,KOSDAQ,현대바이오
A048430,KOSDAQ,유라테크
A048470,KOSDAQ,대동스틸
A048530,KOSDAQ,인트론바이오
A048550,KOSDAQ,SM C&C
A048770,KOSDAQ,TPC
A048830,KOSDAQ,엔피케이
A048870,KOSDAQ,시너지이노베이션
A048910,KOSDAQ,대원미디어
A049070,KOSDAQ,인탑스
A049080,KOSDAQ,기가레인
A049120,KOSDAQ,파인디앤씨
A049180,KOSDAQ,셀루메드
A049430,KOSDAQ,코메론
A049470,KOSDAQ,SGA
A049480,KOSDAQ,오픈베이스
A049520,KOSDAQ,유아이엘
A049550,KOSDAQ,잉크테크
A049630,KOSDAQ,재영솔루텍
A049720,KOSDAQ,고려신용정보
A049830,KOSDAQ,승일
A049950,KOSDAQ,미래컴퍼니
A049960,KOSDAQ,쎌바이오텍
A050090,KOSDAQ,휘닉스소재
A050110,KOSDAQ,캠시스
A050120,KOSDAQ,라이브플렉스
A050320,KOSDAQ,에이앤티앤
A050540,KOSDAQ,한국코퍼레이션
A050760,KOSDAQ,에스폴리텍
A050860,KOSDAQ,아세아텍
A050890,KOSDAQ,쏠리드
A050960,KOSDAQ,수산아이앤티
A051160,KOSDAQ,지어소프트
A051360,KOSDAQ,토비스
A051370,KOSDAQ,인터플렉스
A051380,KOSDAQ,피씨디렉트
A051390,KOSDAQ,YW
A051490,KOSDAQ,나라엠앤디
A051500,KOSDAQ,CJ프레시웨이
A051780,KOSDAQ,큐로홀딩스
A051980,KOSDAQ,중앙리빙테크
A052020,KOSDAQ,에스티큐브
A052190,KOSDAQ,이에스에이
A052220,KOSDAQ,iMBC
A052260,KOSDAQ,SK바이오랜드
A052300,KOSDAQ,W홀딩컴퍼니
A052330,KOSDAQ,코텍
A052400,KOSDAQ,코나아이
A052420,KOSDAQ,오성첨단소재
A052460,KOSDAQ,아이크래프트
A052600,KOSDAQ,한네트
A052670,KOSDAQ,제일바이오
A052710,KOSDAQ,아모텍
A052770,KOSDAQ,와이디온라인
A052790,KOSDAQ,액토즈소프트
A052860,KOSDAQ,아이앤씨
A052900,KOSDAQ,KMH하이텍
A053030,KOSDAQ,바이넥스
A053050,KOSDAQ,지에스이
A053060,KOSDAQ,세동
A053110,KOSDAQ,소리바다
A053160,KOSDAQ,프리엠스
A053260,KOSDAQ,금강철강
A053270,KOSDAQ,구영테크
A053280,KOSDAQ,예스24
A053290,KOSDAQ,NE능률
A053300,KOSDAQ,한국정보인증
A053350,KOSDAQ,이니텍
A053450,KOSDAQ,세코닉스
A053590,KOSDAQ,한국테크놀로지
A053610,KOSDAQ,프로텍
A053620,KOSDAQ,태양
A053660,KOSDAQ,현진소재
A053700,KOSDAQ,삼보모터스
A053800,KOSDAQ,안랩
A053950,KOSDAQ,경남제약
A053980,KOSDAQ,오상자이엘
A054040,KOSDAQ,한국컴퓨터
A054050,KOSDAQ,농우바이오
A054090,KOSDAQ,삼진엘앤디
A054180,KOSDAQ,중앙오션
A054210,KOSDAQ,이랜텍
A054220,KOSDAQ,비츠로시스
A054300,KOSDAQ,팬스타엔터프라이즈
A054340,KOSDAQ,피앤텔
A054410,KOSDAQ,케이피티유
A054450,KOSDAQ,텔레칩스
A054540,KOSDAQ,삼영엠텍
A054620,KOSDAQ,APS홀딩스
A054630,KOSDAQ,에이디칩스
A054670,KOSDAQ,대한뉴팜
A054780,KOSDAQ,키이스트
A054800,KOSDAQ,아이디스홀딩스
A054920,KOSDAQ,한컴시큐어
A054930,KOSDAQ,유신
A054940,KOSDAQ,엑사이엔씨
A054950,KOSDAQ,제이브이엠
A056000,KOSDAQ,신스타임즈
A056080,KOSDAQ,유진로봇
A056090,KOSDAQ,유앤아이
A056190,KOSDAQ,에스에프에이
A056360,KOSDAQ,코위버
A056700,KOSDAQ,신화인터텍
A056730,KOSDAQ,포스링크
A057030,KOSDAQ,와이비엠넷
A057500,KOSDAQ,SKC 솔믹스
A057540,KOSDAQ,옴니시스템
A057680,KOSDAQ,옴니텔
A057880,KOSDAQ,토필드
A058110,KOSDAQ,멕아이씨에스
A058220,KOSDAQ,아리온
A058400,KOSDAQ,KNN
A058420,KOSDAQ,제이웨이
A058450,KOSDAQ,일야
A058470,KOSDAQ,리노공업
A058530,KOSDAQ,슈펙스비앤피
A058610,KOSDAQ,에스피지
A058630,KOSDAQ,엠게임
A058820,KOSDAQ,CMG제약
A059090,KOSDAQ,미코
A059100,KOSDAQ,아이컴포넌트
A059120,KOSDAQ,아진엑스텍
A059210,KOSDAQ,메타바이오메드
A060150,KOSDAQ,인선이엔티
A060230,KOSDAQ,이그잭스
A060240,KOSDAQ,룽투코리아
A060250,KOSDAQ,NHN한국사이버결제
A060260,KOSDAQ,뉴보텍
A060280,KOSDAQ,큐렉소
A060300,KOSDAQ,레드로버
A060310,KOSDAQ,3S
A060370,KOSDAQ,KT서브마린
A060380,KOSDAQ,동양에스텍
A060480,KOSDAQ,국일신동
A060540,KOSDAQ,에스에이티
A060560,KOSDAQ,홈센타홀딩스
A060570,KOSDAQ,아이리버
A060590,KOSDAQ,씨티씨바이오
A060720,KOSDAQ,KH바텍
A060900,KOSDAQ,퍼시픽바이오
A061040,KOSDAQ,알에프텍
A061250,KOSDAQ,화일약품
A061970,KOSDAQ,엘비세미콘
A062860,KOSDAQ,티엘아이
A063080,KOSDAQ,게임빌
A063170,KOSDAQ,서울옥션
A063440,KOSDAQ,SM Life Design
A063570,KOSDAQ,한국전자금융
A063760,KOSDAQ,이엘피
A064090,KOSDAQ,에프앤리퍼블릭
A064240,KOSDAQ,홈캐스트
A064260,KOSDAQ,다날
A064290,KOSDAQ,인텍플러스
A064480,KOSDAQ,브리지텍
A064510,KOSDAQ,에코마이스터
A064520,KOSDAQ,바른전자
A064550,KOSDAQ,바이오니아
A064760,KOSDAQ,티씨케이
A064800,KOSDAQ,필링크
A064820,KOSDAQ,케이프
A065060,KOSDAQ,지엔코
A065130,KOSDAQ,탑엔지니어링
A065150,KOSDAQ,MP그룹
A065160,KOSDAQ,에프티이앤이
A065170,KOSDAQ,넥스트BT
A065350,KOSDAQ,신성델타테크
A065420,KOSDAQ,에스아이리소스
A065440,KOSDAQ,이루온
A065450,KOSDAQ,빅텍
A065500,KOSDAQ,오리엔트정공
A065510,KOSDAQ,휴비츠
A065530,KOSDAQ,전파기지국
A065560,KOSDAQ,녹원씨엔아이
A065570,KOSDAQ,삼영이엔씨
A065620,KOSDAQ,제낙스
A065650,KOSDAQ,메디프론
A065660,KOSDAQ,안트로젠
A065680,KOSDAQ,우주일렉트로
A065690,KOSDAQ,대진디엠피
A065710,KOSDAQ,서호전기
A065770,KOSDAQ,CS
A065940,KOSDAQ,바이오빌
A065950,KOSDAQ,웰크론
A066110,KOSDAQ,한프
A066130,KOSDAQ,하츠
A066310,KOSDAQ,큐에스아이
A066360,KOSDAQ,체리부로
A066410,KOSDAQ,버킷스튜디오
A066430,KOSDAQ,와이오엠
A066590,KOSDAQ,우수AMS
A066620,KOSDAQ,국보디자인
A066670,KOSDAQ,디스플레이텍
A066700,KOSDAQ,테라젠이텍스
A066790,KOSDAQ,씨씨에스
A066900,KOSDAQ,디에이피
A066910,KOSDAQ,손오공
A066970,KOSDAQ,엘앤에프
A066980,KOSDAQ,브레인콘텐츠
A067000,KOSDAQ,조이시티
A067010,KOSDAQ,이씨에스
A067080,KOSDAQ,대화제약
A067160,KOSDAQ,아프리카TV
A067170,KOSDAQ,오텍
A067280,KOSDAQ,멀티캠퍼스
A067290,KOSDAQ,JW신약
A067310,KOSDAQ,하나마이크론
A067390,KOSDAQ,아스트
A067570,KOSDAQ,엔브이에이치코리아
A067630,KOSDAQ,에이치엘비생명과학
A067730,KOSDAQ,로지시스
A067770,KOSDAQ,세진티에스
A067900,KOSDAQ,와이엔텍
A067920,KOSDAQ,이글루시큐리티
A067990,KOSDAQ,도이치모터스
A068050,KOSDAQ,팬엔터테인먼트
A068240,KOSDAQ,다원시스
A068330,KOSDAQ,일신바이오
A068760,KOSDAQ,셀트리온제약
A068790,KOSDAQ,DMS
A068930,KOSDAQ,디지털대성
A068940,KOSDAQ,아이씨케이
A069080,KOSDAQ,웹젠
A069110,KOSDAQ,코스온
A069140,KOSDAQ,누리플랜
A069330,KOSDAQ,유아이디
A069410,KOSDAQ,엔텔스
A069510,KOSDAQ,에스텍
A069540,KOSDAQ,라이트론
A069920,KOSDAQ,아이에스이커머스
A070300,KOSDAQ,한솔시큐어
A070590,KOSDAQ,한솔인티큐브
A071200,KOSDAQ,인피니트헬스케어
A071280,KOSDAQ,로체시스템즈
A071460,KOSDAQ,대유위니아
A071670,KOSDAQ,에이테크솔루션
A071850,KOSDAQ,캐스텍코리아
A072020,KOSDAQ,중앙백신
A072470,KOSDAQ,우리산업홀딩스
A072520,KOSDAQ,제넨바이오
A072770,KOSDAQ,네오디안테크놀로지
A072870,KOSDAQ,메가스터디
A072950,KOSDAQ,빛샘전자
A072990,KOSDAQ,에이치시티
A073010,KOSDAQ,케이에스피
A073070,KOSDAQ,에스모
A073110,KOSDAQ,엘엠에스
A073190,KOSDAQ,듀오백
A073490,KOSDAQ,이노와이어리스
A073540,KOSDAQ,에프알텍
A073560,KOSDAQ,우리손에프앤지
A073570,KOSDAQ,피엠지파마
A073640,KOSDAQ,삼원테크
A074430,KOSDAQ,아미노로직스
A074600,KOSDAQ,원익QnC
A075130,KOSDAQ,플랜티넷
A075970,KOSDAQ,동국알앤에스
A076080,KOSDAQ,웰크론한텍
A076610,KOSDAQ,해성옵틱스
